weather_date,province,region,temperature,humidity,precipitation,wind_speed,pressure,weather_code,source
2025-01-01,Ha Noi,Northern,17.6,73,0.0,10.7,1015.0,Partly Cloudy,Open-meteo.com
2025-01-02,Ha Noi,Northern,18.5,69,0.0,10.9,1016.1,Partly Cloudy,Open-meteo.com
2025-01-03,Ha Noi,Northern,19.3,64,0.0,12.1,1017.7,Overcast,Open-meteo.com
2025-01-04,Ha Noi,Northern,18.3,68,0.0,15.1,1016.5,Overcast,Open-meteo.com
2025-01-05,Ha Noi,Northern,18.7,61,0.0,10.1,1018.1,Overcast,Open-meteo.com
2025-01-06,Ha Noi,Northern,18.1,67,0.0,12.2,1015.6,Clear,Open-meteo.com
2025-01-07,Ha Noi,Northern,17.8,79,0.0,13.3,1014.9,Overcast,Open-meteo.com
2025-01-08,Ha Noi,Northern,18.8,79,0.7,14.0,1015.7,Light Rain,Open-meteo.com
2025-01-09,Ha Noi,Northern,18.6,57,0.0,21.1,1019.1,Overcast,Open-meteo.com
2025-01-10,Ha Noi,Northern,15.8,48,0.0,21.2,1025.5,Overcast,Open-meteo.com
2025-01-11,Ha Noi,Northern,14.8,44,0.0,18.2,1028.1,Overcast,Open-meteo.com
2025-01-12,Ha Noi,Northern,14.1,47,0.0,11.5,1024.3,Overcast,Open-meteo.com
2025-01-13,Ha Noi,Northern,14.7,61,0.0,12.6,1019.4,Mostly Clear,Open-meteo.com
2025-01-14,Ha Noi,Northern,16.8,72,0.0,12.0,1018.7,Overcast,Open-meteo.com
2025-01-15,Ha Noi,Northern,19.1,56,0.3,18.2,1022.3,Light Rain,Open-meteo.com
2025-01-16,Ha Noi,Northern,17.8,51,0.0,15.6,1022.4,Overcast,Open-meteo.com
2025-01-17,Ha Noi,Northern,16.4,70,0.0,16.6,1018.7,Clear,Open-meteo.com
2025-01-18,Ha Noi,Northern,17.1,72,0.0,8.7,1016.5,Overcast,Open-meteo.com
2025-01-19,Ha Noi,Northern,18.3,65,0.0,13.3,1014.5,Overcast,Open-meteo.com
2025-01-20,Ha Noi,Northern,18.4,65,0.0,11.1,1013.1,Overcast,Open-meteo.com
2025-01-21,Ha Noi,Northern,18.2,69,0.0,17.3,1012.6,Overcast,Open-meteo.com
2025-01-22,Ha Noi,Northern,18.7,81,0.0,12.2,1012.9,Overcast,Open-meteo.com
2025-01-23,Ha Noi,Northern,19.1,83,0.2,14.6,1012.0,Light Rain,Open-meteo.com
2025-01-24,Ha Noi,Northern,20.8,85,2.9,17.4,1008.3,Moderate Rain,Open-meteo.com
2025-01-25,Ha Noi,Northern,21.3,87,2.9,19.3,1010.0,Heavy Rain,Open-meteo.com
2025-01-26,Ha Noi,Northern,14.9,69,10.9,26.4,1021.4,Moderate Rain,Open-meteo.com
2025-01-27,Ha Noi,Northern,14.7,49,0.1,16.1,1021.5,Light Rain,Open-meteo.com
2025-01-28,Ha Noi,Northern,13.5,49,0.3,14.2,1022.4,Light Rain,Open-meteo.com
2025-01-29,Ha Noi,Northern,13.5,64,0.0,8.3,1020.8,Overcast,Open-meteo.com
2025-01-30,Ha Noi,Northern,16.4,74,0.0,18.1,1013.6,Overcast,Open-meteo.com
2025-01-31,Ha Noi,Northern,20.1,83,0.2,18.3,1010.1,Light Rain,Open-meteo.com
2025-02-01,Ha Noi,Northern,20.9,87,1.6,18.8,1008.4,Light Rain,Open-meteo.com
2025-02-02,Ha Noi,Northern,20.8,83,1.2,16.9,1009.8,Light Rain,Open-meteo.com
2025-02-03,Ha Noi,Northern,15.6,69,5.8,21.2,1018.1,Light Rain,Open-meteo.com
2025-02-04,Ha Noi,Northern,15.4,55,0.0,15.5,1019.8,Overcast,Open-meteo.com
2025-02-05,Ha Noi,Northern,15.6,81,0.5,11.9,1014.6,Light Rain,Open-meteo.com
2025-02-06,Ha Noi,Northern,17.4,84,2.1,17.4,1013.0,Light Rain,Open-meteo.com
2025-02-07,Ha Noi,Northern,14.3,75,5.8,17.9,1019.3,Heavy Rain,Open-meteo.com
2025-02-08,Ha Noi,Northern,13.3,64,0.8,12.5,1022.5,Light Rain,Open-meteo.com
2025-02-09,Ha Noi,Northern,13.5,56,0.0,10.0,1020.9,Overcast,Open-meteo.com
2025-02-10,Ha Noi,Northern,14.6,74,0.0,12.7,1017.7,Overcast,Open-meteo.com
2025-02-11,Ha Noi,Northern,17.1,82,0.0,18.8,1014.3,Overcast,Open-meteo.com
2025-02-12,Ha Noi,Northern,19.6,85,0.2,9.0,1014.2,Light Rain,Open-meteo.com
2025-02-13,Ha Noi,Northern,19.2,74,2.4,15.9,1015.3,Heavy Rain,Open-meteo.com
2025-02-14,Ha Noi,Northern,19.1,81,0.5,15.6,1012.8,Light Rain,Open-meteo.com
2025-02-15,Ha Noi,Northern,20.8,87,0.5,15.5,1010.4,Light Rain,Open-meteo.com
2025-02-16,Ha Noi,Northern,17.5,83,6.6,14.6,1014.3,Light Rain,Open-meteo.com
2025-02-17,Ha Noi,Northern,18.5,82,0.4,10.2,1016.3,Light Rain,Open-meteo.com
2025-02-18,Ha Noi,Northern,17.1,85,2.0,11.8,1017.4,Light Rain,Open-meteo.com
2025-02-19,Ha Noi,Northern,17.9,87,2.3,10.3,1016.3,Moderate Rain,Open-meteo.com
2025-02-20,Ha Noi,Northern,19.7,87,0.7,12.3,1016.0,Light Rain,Open-meteo.com
