weather_date,province,region,temperature,humidity,precipitation,wind_speed,pressure,weather_code,source
2025-01-01,Ca Mau,Southern,27.0,69.75,0.0,6.38,1009.49,Overcast,Wunderground
2025-01-02,Ca Mau,Southern,27.88,66.0,0.0,6.75,1009.81,Overcast,Wunderground
2025-01-03,Ca Mau,Southern,27.5,74.25,0.0,3.88,1010.19,Overcast,Wunderground
2025-01-04,Ca Mau,Southern,27.25,77.25,0.0,3.25,1010.0,Overcast,Wunderground
2025-01-05,Ca Mau,Southern,26.62,70.5,0.0,4.5,1011.3,Overcast,Wunderground
2025-01-06,Ca Mau,Southern,26.38,69.75,0.0,2.38,1011.26,Overcast,Wunderground
2025-01-07,Ca Mau,Southern,26.88,67.62,0.0,5.88,1011.4,Overcast,Wunderground
2025-01-08,Ca Mau,Southern,27.38,70.75,0.0,4.25,1010.86,Overcast,Wunderground
2025-01-09,Ca Mau,Southern,27.38,72.25,5.0,4.25,1011.94,Overcast,Wunderground
2025-01-10,Ca Mau,Southern,27.25,74.88,0.1,4.62,1012.84,Overcast,Wunderground
2025-01-11,Ca Mau,Southern,26.0,70.38,0.1,7.25,1013.85,Overcast,Wunderground
2025-01-12,Ca Mau,Southern,24.75,65.62,0.0,7.62,1013.32,Overcast,Wunderground
2025-01-13,Ca Mau,Southern,24.38,61.62,0.0,7.75,1012.78,Overcast,Wunderground
2025-01-14,Ca Mau,Southern,26.0,64.0,0.0,7.25,1011.98,Overcast,Wunderground
2025-01-15,Ca Mau,Southern,27.38,76.88,0.4,7.25,1011.52,Overcast,Wunderground
2025-01-16,Ca Mau,Southern,27.5,73.12,0.0,7.75,1011.92,Overcast,Wunderground
2025-01-17,Ca Mau,Southern,26.25,71.25,0.0,7.12,1011.62,Overcast,Wunderground
2025-01-18,Ca Mau,Southern,26.75,72.38,0.0,6.0,1010.9,Overcast,Wunderground
2025-01-19,Ca Mau,Southern,26.88,75.62,0.0,4.38,1010.09,Overcast,Wunderground
2025-01-20,Ca Mau,Southern,26.25,73.75,0.0,5.12,1009.46,Overcast,Wunderground
2025-01-21,Ca Mau,Southern,25.88,73.5,0.0,5.12,1009.8,Overcast,Wunderground
2025-01-22,Ca Mau,Southern,25.62,75.75,0.0,3.0,1009.92,Overcast,Wunderground
2025-01-23,Ca Mau,Southern,26.62,74.88,0.0,4.25,1010.1,Overcast,Wunderground
2025-01-24,Ca Mau,Southern,26.62,77.0,0.0,5.5,1009.05,Overcast,Wunderground
2025-01-25,Ca Mau,Southern,27.12,76.0,0.0,4.12,1009.4,Overcast,Wunderground
2025-01-26,Ca Mau,Southern,26.38,76.88,0.0,4.25,1009.98,Overcast,Wunderground
2025-01-27,Ca Mau,Southern,26.38,69.75,0.0,8.12,1009.78,Overcast,Wunderground
2025-01-28,Ca Mau,Southern,25.5,69.12,0.0,6.62,1012.36,Overcast,Wunderground
2025-01-29,Ca Mau,Southern,25.88,67.0,0.0,5.5,1013.35,Overcast,Wunderground
2025-01-30,Ca Mau,Southern,25.5,68.75,0.0,5.12,1011.01,Overcast,Wunderground
2025-01-31,Ca Mau,Southern,25.88,72.0,0.0,3.62,1009.79,Overcast,Wunderground
2025-02-01,Ca Mau,Southern,26.5,72.0,0.0,3.75,1008.72,Overcast,Wunderground
2025-02-02,Ca Mau,Southern,26.5,72.62,0.0,4.25,1008.66,Overcast,Wunderground
2025-02-03,Ca Mau,Southern,26.5,73.88,0.0,3.88,1009.72,Overcast,Wunderground
2025-02-04,Ca Mau,Southern,26.38,70.88,0.0,5.62,1010.45,Overcast,Wunderground
2025-02-05,Ca Mau,Southern,26.0,73.12,0.0,6.12,1009.98,Overcast,Wunderground
2025-02-06,Ca Mau,Southern,26.0,73.25,0.0,4.0,1009.81,Overcast,Wunderground
2025-02-07,Ca Mau,Southern,26.12,72.75,0.0,3.0,1010.49,Overcast,Wunderground
2025-02-08,Ca Mau,Southern,26.12,71.38,0.0,3.75,1010.59,Overcast,Wunderground
2025-02-09,Ca Mau,Southern,26.0,68.25,0.0,3.25,1010.78,Overcast,Wunderground
2025-02-10,Ca Mau,Southern,26.75,73.62,0.0,2.5,1010.88,Overcast,Wunderground
2025-02-11,Ca Mau,Southern,27.25,76.62,0.0,5.12,1010.72,Overcast,Wunderground
2025-02-12,Ca Mau,Southern,27.38,78.0,0.0,3.38,1010.84,Overcast,Wunderground
2025-02-13,Ca Mau,Southern,27.25,74.5,0.0,5.12,1010.82,Overcast,Wunderground
2025-02-14,Ca Mau,Southern,27.5,75.12,0.0,4.75,1010.19,Overcast,Wunderground
2025-02-15,Ca Mau,Southern,27.88,75.38,0.0,5.12,1009.4,Overcast,Wunderground
2025-02-16,Ca Mau,Southern,27.88,72.12,0.0,3.62,1010.7,Overcast,Wunderground
2025-02-17,Ca Mau,Southern,27.5,69.88,0.0,4.75,1011.24,Overcast,Wunderground
2025-02-18,Ca Mau,Southern,28.0,69.71,0.0,5.43,1011.19,Overcast,Wunderground
2025-02-19,Ca Mau,Southern,27.38,73.25,0.1,4.12,1010.66,Overcast,Wunderground
2025-02-20,Ca Mau,Southern,28.0,69.88,0.0,6.62,1010.75,Overcast,Wunderground
2025-02-21,Ca Mau,Southern,28.12,71.88,0.0,7.12,1011.66,Overcast,Wunderground
2025-02-22,Ca Mau,Southern,28.38,70.62,0.0,8.62,1011.61,Overcast,Wunderground
2025-02-23,Ca Mau,Southern,27.62,76.25,1.0,10.5,1012.35,Overcast,Wunderground
2025-02-24,Ca Mau,Southern,28.5,70.25,0.0,13.5,1012.6,Overcast,Wunderground
2025-02-25,Ca Mau,Southern,28.75,67.62,0.0,11.38,1013.21,Overcast,Wunderground
2025-02-26,Ca Mau,Southern,28.62,68.38,0.0,9.0,1012.86,Overcast,Wunderground
2025-02-27,Ca Mau,Southern,28.62,70.38,0.0,8.0,1011.91,Overcast,Wunderground
2025-02-28,Ca Mau,Southern,28.0,71.43,0.0,7.71,1011.83,Overcast,Wunderground
2025-03-01,Ca Mau,Southern,27.25,74.38,0.0,4.38,1010.58,Overcast,Wunderground
2025-03-02,Ca Mau,Southern,26.62,76.88,0.0,3.88,1009.39,Overcast,Wunderground
2025-03-03,Ca Mau,Southern,27.5,72.88,0.0,2.5,1008.95,Overcast,Wunderground
2025-03-04,Ca Mau,Southern,28.62,73.12,0.0,3.12,1008.59,Overcast,Wunderground
2025-03-05,Ca Mau,Southern,29.12,72.12,0.0,3.75,1007.31,Overcast,Wunderground
2025-03-06,Ca Mau,Southern,28.62,70.38,0.0,5.0,1008.78,Overcast,Wunderground
2025-03-07,Ca Mau,Southern,27.88,75.62,6.3,5.88,1009.3,Overcast,Wunderground
2025-03-08,Ca Mau,Southern,28.25,70.0,0.0,11.38,1009.06,Overcast,Wunderground
2025-03-09,Ca Mau,Southern,28.5,67.25,0.0,7.25,1010.96,Overcast,Wunderground
2025-03-10,Ca Mau,Southern,28.62,69.62,0.0,9.75,1011.61,Overcast,Wunderground
2025-03-11,Ca Mau,Southern,28.75,71.75,0.0,8.12,1010.55,Overcast,Wunderground
2025-03-12,Ca Mau,Southern,28.62,74.75,0.0,5.88,1009.46,Overcast,Wunderground
2025-03-13,Ca Mau,Southern,28.25,73.12,0.0,5.88,1009.46,Overcast,Wunderground
2025-03-14,Ca Mau,Southern,28.38,75.5,0.0,5.0,1009.88,Overcast,Wunderground
2025-03-15,Ca Mau,Southern,28.0,73.88,0.0,2.88,1010.26,Overcast,Wunderground
2025-03-16,Ca Mau,Southern,28.12,73.25,0.0,2.38,1009.92,Overcast,Wunderground
2025-03-17,Ca Mau,Southern,28.5,73.12,0.0,4.25,1010.06,Overcast,Wunderground
2025-03-18,Ca Mau,Southern,28.5,70.75,0.0,8.0,1010.69,Overcast,Wunderground
2025-03-19,Ca Mau,Southern,28.43,66.86,0.0,10.71,1012.4,Overcast,Wunderground
2025-03-20,Ca Mau,Southern,27.62,66.38,0.0,6.0,1013.26,Overcast,Wunderground
2025-03-21,Ca Mau,Southern,27.62,73.25,0.0,4.62,1013.65,Overcast,Wunderground
2025-03-22,Ca Mau,Southern,28.38,67.88,0.0,8.75,1012.51,Overcast,Wunderground
2025-03-23,Ca Mau,Southern,27.75,72.75,0.0,4.62,1012.36,Overcast,Wunderground
2025-03-24,Ca Mau,Southern,27.38,75.25,0.0,2.38,1010.91,Overcast,Wunderground
2025-03-25,Ca Mau,Southern,27.12,75.25,0.0,4.12,1009.11,Overcast,Wunderground
2025-03-26,Ca Mau,Southern,27.88,74.75,0.0,3.25,1007.45,Overcast,Wunderground
2025-03-27,Ca Mau,Southern,28.0,72.62,0.0,4.25,1007.99,Overcast,Wunderground
2025-03-28,Ca Mau,Southern,27.88,72.0,0.0,5.12,1006.71,Overcast,Wunderground
2025-03-29,Ca Mau,Southern,28.25,68.62,0.0,4.0,1007.88,Overcast,Wunderground
2025-03-30,Ca Mau,Southern,28.5,75.12,0.0,4.75,1009.8,Overcast,Wunderground
2025-03-31,Ca Mau,Southern,27.38,81.38,70.5,4.75,1009.48,Overcast,Wunderground
2025-04-01,Ca Mau,Southern,28.75,74.75,6.7,4.88,1009.12,Overcast,Wunderground
2025-04-02,Ca Mau,Southern,28.12,75.75,0.1,9.0,1010.11,Overcast,Wunderground
2025-04-03,Ca Mau,Southern,27.75,74.25,1.3,6.38,1010.72,Overcast,Wunderground
2025-04-04,Ca Mau,Southern,28.25,71.75,0.0,4.25,1010.26,Overcast,Wunderground
2025-04-05,Ca Mau,Southern,28.5,74.0,0.0,5.12,1010.06,Overcast,Wunderground
2025-04-06,Ca Mau,Southern,28.38,74.5,0.0,4.62,1009.79,Overcast,Wunderground
2025-04-07,Ca Mau,Southern,29.0,69.62,0.0,4.25,1009.36,Overcast,Wunderground
2025-04-08,Ca Mau,Southern,29.0,73.0,0.0,4.75,1011.24,Overcast,Wunderground
2025-04-09,Ca Mau,Southern,28.43,77.0,0.0,5.0,1011.11,Overcast,Wunderground
2025-04-10,Ca Mau,Southern,28.5,78.0,0.0,3.38,1009.12,Overcast,Wunderground
2025-04-11,Ca Mau,Southern,29.75,73.62,0.0,4.25,1008.8,Overcast,Wunderground
2025-04-12,Ca Mau,Southern,29.0,76.0,5.0,4.62,1008.9,Overcast,Wunderground
2025-04-13,Ca Mau,Southern,29.62,73.38,0.0,2.88,1008.84,Overcast,Wunderground
2025-04-14,Ca Mau,Southern,29.38,72.12,3.1,4.75,1010.19,Overcast,Wunderground
2025-04-15,Ca Mau,Southern,28.75,76.0,2.1,5.88,1009.88,Overcast,Wunderground
2025-04-16,Ca Mau,Southern,28.75,76.5,7.5,5.12,1009.88,Overcast,Wunderground
2025-04-17,Ca Mau,Southern,29.38,73.0,0.0,5.12,1009.64,Overcast,Wunderground
2025-04-18,Ca Mau,Southern,29.57,73.43,0.0,4.43,1008.91,Overcast,Wunderground
2025-04-19,Ca Mau,Southern,30.0,69.75,0.0,3.88,1008.9,Overcast,Wunderground
2025-04-20,Ca Mau,Southern,29.75,69.0,0.0,4.62,1009.58,Overcast,Wunderground
2025-04-21,Ca Mau,Southern,29.88,69.88,0.0,3.0,1010.35,Overcast,Wunderground
2025-04-22,Ca Mau,Southern,29.12,74.12,2.8,4.62,1009.72,Overcast,Wunderground
2025-04-23,Ca Mau,Southern,29.38,73.38,0.0,4.12,1009.02,Overcast,Wunderground
