province,region,weather_date,temperature,humidity,precipitation,wind_speed,pressure,weather_condition,source
Ha Noi,North,1/1/2025,17.6,73,0,10.7,1015,Partly Cloudy,OpenMeteo
Ha Noi,North,1/2/2025,18.5,69,0,10.9,1016.1,Partly Cloudy,OpenMeteo
Ha Noi,North,1/3/2025,19.3,64,0,12.1,1017.7,Overcast,OpenMeteo
Ha Noi,North,1/4/2025,18.3,68,0,15.1,1016.5,Overcast,OpenMeteo
Ha Noi,North,1/5/2025,18.7,61,0,10.1,1018.1,Overcast,OpenMeteo
Ha Noi,North,1/6/2025,18.1,67,0,12.2,1015.6,Clear Sky,OpenMeteo
Ha Noi,North,1/7/2025,17.8,79,0,13.3,1014.9,Overcast,OpenMeteo
Ha Noi,North,1/8/2025,18.8,79,0.7,14,1015.7,Light Drizzle,OpenMeteo
Ha Noi,North,1/9/2025,18.6,57,0,21.1,1019.1,Overcast,OpenMeteo
Ha Noi,North,1/10/2025,15.8,48,0,21.2,1025.5,Overcast,OpenMeteo
Ha Noi,North,1/11/2025,14.8,44,0,18.2,1028.1,Overcast,OpenMeteo
Ha Noi,North,1/12/2025,14.1,47,0,11.5,1024.3,Overcast,OpenMeteo
Ha Noi,North,1/13/2025,14.7,61,0,12.6,1019.4,Mainly Clear,OpenMeteo
Ha Noi,North,1/14/2025,16.8,72,0,12,1018.7,Overcast,OpenMeteo
Ha Noi,North,1/15/2025,19.1,56,0.3,18.2,1022.3,Light Drizzle,OpenMeteo
Ha Noi,North,1/16/2025,17.8,51,0,15.6,1022.4,Overcast,OpenMeteo
Ha Noi,North,1/17/2025,16.4,70,0,16.6,1018.7,Clear Sky,OpenMeteo
Ha Noi,North,1/18/2025,17.1,72,0,8.7,1016.5,Overcast,OpenMeteo
Ha Noi,North,1/19/2025,18.3,65,0,13.3,1014.5,Overcast,OpenMeteo
Ha Noi,North,1/20/2025,18.4,65,0,11.1,1013.1,Overcast,OpenMeteo
Ha Noi,North,1/21/2025,18.2,69,0,17.3,1012.6,Overcast,OpenMeteo
Ha Noi,North,1/22/2025,18.7,81,0,12.2,1012.9,Overcast,OpenMeteo
Ha Noi,North,1/23/2025,19.1,83,0.2,14.6,1012,Light Drizzle,OpenMeteo
Ha Noi,North,1/24/2025,20.8,85,2.9,17.4,1008.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,1/25/2025,21.3,87,2.9,19.3,1010,Dense Drizzle,OpenMeteo
Ha Noi,North,1/26/2025,14.9,69,10.9,26.4,1021.4,Moderate Rain,OpenMeteo
Ha Noi,North,1/27/2025,14.7,49,0.1,16.1,1021.5,Light Drizzle,OpenMeteo
Ha Noi,North,1/28/2025,13.5,49,0.3,14.2,1022.4,Light Drizzle,OpenMeteo
Ha Noi,North,1/29/2025,13.5,64,0,8.3,1020.8,Overcast,OpenMeteo
Ha Noi,North,1/30/2025,16.4,74,0,18.1,1013.6,Overcast,OpenMeteo
Ha Noi,North,1/31/2025,20.1,83,0.2,18.3,1010.1,Light Drizzle,OpenMeteo
Ha Noi,North,2/1/2025,20.9,87,1.6,18.8,1008.4,Light Drizzle,OpenMeteo
Ha Noi,North,2/2/2025,20.8,83,1.2,16.9,1009.8,Light Drizzle,OpenMeteo
Ha Noi,North,2/3/2025,15.6,69,5.8,21.2,1018.1,Light Rain,OpenMeteo
Ha Noi,North,2/4/2025,15.4,55,0,15.5,1019.8,Overcast,OpenMeteo
Ha Noi,North,2/5/2025,15.6,81,0.5,11.9,1014.6,Light Drizzle,OpenMeteo
Ha Noi,North,2/6/2025,17.4,84,2.1,17.4,1013,Light Drizzle,OpenMeteo
Ha Noi,North,2/7/2025,14.3,75,5.8,17.9,1019.3,Dense Drizzle,OpenMeteo
Ha Noi,North,2/8/2025,13.3,64,0.8,12.5,1022.5,Light Drizzle,OpenMeteo
Ha Noi,North,2/9/2025,13.5,56,0,10,1020.9,Overcast,OpenMeteo
Ha Noi,North,2/10/2025,14.6,74,0,12.7,1017.7,Overcast,OpenMeteo
Ha Noi,North,2/11/2025,17.1,82,0,18.8,1014.3,Overcast,OpenMeteo
Ha Noi,North,2/12/2025,19.6,85,0.2,9,1014.2,Light Drizzle,OpenMeteo
Ha Noi,North,2/13/2025,19.2,74,2.4,15.9,1015.3,Dense Drizzle,OpenMeteo
Ha Noi,North,2/14/2025,19.1,81,0.5,15.6,1012.8,Light Drizzle,OpenMeteo
Ha Noi,North,2/15/2025,20.8,87,0.5,15.5,1010.4,Light Drizzle,OpenMeteo
Ha Noi,North,2/16/2025,17.5,83,6.6,14.6,1014.3,Light Rain,OpenMeteo
Ha Noi,North,2/17/2025,18.5,82,0.4,10.2,1016.3,Light Drizzle,OpenMeteo
Ha Noi,North,2/18/2025,17.1,85,2,11.8,1017.4,Light Drizzle,OpenMeteo
Ha Noi,North,2/19/2025,17.9,87,2.3,10.3,1016.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,2/20/2025,19.7,87,0.7,12.3,1016,Light Drizzle,OpenMeteo
Ha Noi,North,2/21/2025,19.6,85,0.6,15.5,1017.2,Light Drizzle,OpenMeteo
Ha Noi,North,2/22/2025,19.5,83,0.6,12.2,1017.8,Light Drizzle,OpenMeteo
Ha Noi,North,2/23/2025,17,77,0.8,17.9,1022.1,Light Drizzle,OpenMeteo
Ha Noi,North,2/24/2025,13.8,77,1.2,13.5,1025.1,Light Drizzle,OpenMeteo
Ha Noi,North,2/25/2025,14,91,9.8,9,1023.1,Light Rain,OpenMeteo
Ha Noi,North,2/26/2025,15.6,86,2.1,9.8,1020,Moderate Drizzle,OpenMeteo
Ha Noi,North,2/27/2025,18.2,85,0,15.5,1014.7,Overcast,OpenMeteo
Ha Noi,North,2/28/2025,20.6,86,0.3,18.2,1011.9,Light Drizzle,OpenMeteo
Ha Noi,North,3/1/2025,22.6,85,0.1,19.8,1008.4,Light Drizzle,OpenMeteo
Ha Noi,North,3/2/2025,23.6,87,0.4,17.8,1006.2,Light Drizzle,OpenMeteo
Ha Noi,North,3/3/2025,24,89,0.2,16,1005.3,Light Drizzle,OpenMeteo
Ha Noi,North,3/4/2025,24.9,88,0.5,17.5,1004.2,Light Drizzle,OpenMeteo
Ha Noi,North,3/5/2025,22.7,88,4.9,21.3,1006.9,Dense Drizzle,OpenMeteo
Ha Noi,North,3/6/2025,15.3,69,2.5,22,1017.2,Moderate Drizzle,OpenMeteo
Ha Noi,North,3/7/2025,15.3,63,0.1,13.8,1018.9,Light Drizzle,OpenMeteo
Ha Noi,North,3/8/2025,16.2,73,0,9.9,1017.5,Overcast,OpenMeteo
Ha Noi,North,3/9/2025,17.9,82,0.1,9.7,1017.6,Light Drizzle,OpenMeteo
Ha Noi,North,3/10/2025,19.9,86,0.7,11.2,1016.4,Light Drizzle,OpenMeteo
Ha Noi,North,3/11/2025,21,89,0.3,16.6,1011.8,Light Drizzle,OpenMeteo
Ha Noi,North,3/12/2025,23.3,88,0.9,16,1008.6,Light Drizzle,OpenMeteo
Ha Noi,North,3/13/2025,23.4,91,1.7,17.2,1008,Light Drizzle,OpenMeteo
Ha Noi,North,3/14/2025,24.4,90,0.6,18.1,1008.2,Light Drizzle,OpenMeteo
Ha Noi,North,3/15/2025,23.6,84,1.9,20.8,1010.4,Light Drizzle,OpenMeteo
Ha Noi,North,3/16/2025,18.4,60,0.9,19,1017.6,Moderate Drizzle,OpenMeteo
Ha Noi,North,3/17/2025,17.6,61,0,12,1018,Overcast,OpenMeteo
Ha Noi,North,3/18/2025,17.2,58,0,15.8,1021.3,Overcast,OpenMeteo
Ha Noi,North,3/19/2025,18.1,56,0,15.1,1022.7,Overcast,OpenMeteo
Ha Noi,North,3/20/2025,18.3,63,0,10.9,1021.5,Overcast,OpenMeteo
Ha Noi,North,3/21/2025,19.1,63,0,11.8,1019.4,Overcast,OpenMeteo
Ha Noi,North,3/22/2025,19.6,72,0,13.3,1016.9,Overcast,OpenMeteo
Ha Noi,North,3/23/2025,20.9,80,0,14.3,1014.3,Overcast,OpenMeteo
Ha Noi,North,3/24/2025,22.4,78,0,15.9,1010.8,Overcast,OpenMeteo
Ha Noi,North,3/25/2025,23.9,78,0,16.7,1005.5,Overcast,OpenMeteo
Ha Noi,North,3/26/2025,24.1,81,0,18.6,1002.5,Overcast,OpenMeteo
Ha Noi,North,3/27/2025,25.6,83,0,18.5,999.6,Overcast,OpenMeteo
Ha Noi,North,3/28/2025,25.5,84,0.4,15.1,1003.9,Light Drizzle,OpenMeteo
Ha Noi,North,3/29/2025,17,79,9.7,22.3,1013.3,Moderate Rain,OpenMeteo
