weather_date,province,region,temperature,humidity,precipitation,wind_speed,pressure,weather_code,source
1/1/2025,Cà Mau,South,27,69.75,0,6.375,1009.4875,803,Wunderground
1/2/2025,Cà Mau,South,27.875,66,0,6.75,1009.8125,803,Wunderground
1/3/2025,Cà Mau,South,27.5,74.25,0,3.875,1010.1875,803,Wunderground
1/4/2025,Cà Mau,South,27.25,77.25,0,3.25,1010,803,Wunderground
1/5/2025,Cà Mau,South,26.625,70.5,0,4.5,1011.3,803,Wunderground
1/6/2025,Cà Mau,South,26.375,69.75,0,2.375,1011.2625,803,Wunderground
1/7/2025,Cà Mau,South,26.875,67.625,0,5.875,1011.4,803,Wunderground
1/8/2025,Cà Mau,South,27.375,70.75,0,4.25,1010.8625,803,Wunderground
1/9/2025,Cà Mau,South,27.375,72.25,5,4.25,1011.9375,803,Wunderground
1/10/2025,Cà Mau,South,27.25,74.875,0.1,4.625,1012.8375,803,Wunderground
1/11/2025,Cà Mau,South,26,70.375,0.1,7.25,1013.85,803,Wunderground
1/12/2025,Cà Mau,South,24.75,65.625,0,7.625,1013.325,803,Wunderground
1/13/2025,Cà Mau,South,24.375,61.625,0,7.75,1012.775,803,Wunderground
1/14/2025,Cà Mau,South,26,64,0,7.25,1011.975,803,Wunderground
1/15/2025,Cà Mau,South,27.375,76.875,0.4,7.25,1011.525,803,Wunderground
1/16/2025,Cà Mau,South,27.5,73.125,0,7.75,1011.925,803,Wunderground
1/17/2025,Cà Mau,South,26.25,71.25,0,7.125,1011.625,803,Wunderground
1/18/2025,Cà Mau,South,26.75,72.375,0,6,1010.9,803,Wunderground
1/19/2025,Cà Mau,South,26.875,75.625,0,4.375,1010.0875,803,Wunderground
1/20/2025,Cà Mau,South,26.25,73.75,0,5.125,1009.4625,803,Wunderground
1/21/2025,Cà Mau,South,25.875,73.5,0,5.125,1009.8,803,Wunderground
1/22/2025,Cà Mau,South,25.625,75.75,0,3,1009.925,803,Wunderground
1/23/2025,Cà Mau,South,26.625,74.875,0,4.25,1010.1,803,Wunderground
1/24/2025,Cà Mau,South,26.625,77,0,5.5,1009.05,803,Wunderground
1/25/2025,Cà Mau,South,27.125,76,0,4.125,1009.4,803,Wunderground
1/26/2025,Cà Mau,South,26.375,76.875,0,4.25,1009.975,803,Wunderground
1/27/2025,Cà Mau,South,26.375,69.75,0,8.125,1009.775,803,Wunderground
1/28/2025,Cà Mau,South,25.5,69.125,0,6.625,1012.3625,803,Wunderground
1/29/2025,Cà Mau,South,25.875,67,0,5.5,1013.35,803,Wunderground
1/30/2025,Cà Mau,South,25.5,68.75,0,5.125,1011.0125,803,Wunderground
1/31/2025,Cà Mau,South,25.875,72,0,3.625,1009.7875,803,Wunderground
2/1/2025,Cà Mau,South,26.5,72,0,3.75,1008.725,803,Wunderground
