province,region,weather_date,temperature,humidity,precipitation,wind_speed,pressure,weather_condition,source
Ca_Mau,South,2025-01-01,29,56,,11,1009.2,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-02,31,55,,14,1009.1,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-03,28,67,,4,1010.4,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-04,28,64,,4,1009.8,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-05,29,52,,7,1011.0,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-06,29,58,,4,1011.0,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-07,30,52,,14,1011.3,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-08,30,52,,7,1010.1,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-09,30,56,,4,1012.0,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-10,29,65,,11,1012.8,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-11,27,65,,11,1014.0,Cloudy,South_API
Ca_Mau,South,2025-01-12,26,59,,7,1013.1,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-13,26,55,,11,1012.3,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-14,28,58,,11,1012.0,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-15,29,71,,14,1011.1,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-16,30,61,,11,1011.3,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-17,28,58,,11,1011.1,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-18,28,65,,7,1011.0,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-19,29,60,,7,1009.9,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-20,28,67,,7,1009.8,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-21,29,59,,7,1009.9,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-22,28,62,,4,1010.6,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-23,29,64,,7,1010.5,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-24,29,63,,4,1009.3,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-25,29,65,,7,1009.5,Mostly Cloudy,South_API
Ca_Mau,South,2025-01-26,27,75,,7,1010.9,Mostly Cloudy,South_API
